ID_2	X	Y	elevacion	twi	arcilla	pH	COS
2	603163.55	6576899.24	100	135	30.8	6.6	25.98
3	596537.13	6390517.74	87	133	24	7.4	17.29
4	595665.51	6380483.6	93	126	28.5	6.1	17.43
5	601138.47	6353446.4	105	119	28.8	6.9	15.08
6	601798.13	6344095.95	111	127	25.2	7.4	17.3
7	587501.2	6615272.45	94	135	33.6	6.7	16.13
8	589808.18	6593000.87	97	135	35.7	6.9	15.24
9	585406.53	6575712.38	100	134	30.1	6	12.9
10	584319.93	6552571.38	100	134	32.7	6.6	15.74
11	582795.8	6536823.17	108	135	33.2	6	27.03
12	578393.83	6514829.82	103	132	25.6	6	13.2
13	583401.29	6415459.43	103	132	10.2	10	5.01
14	584191.34	6397970.97	113	130	29.3	5.6	17.38
15	581920.37	6376827.26	111	131	24	6.7	15.1
16	577542.57	6355541.79	86	125	18.3	8.4	8.73
17	584591.65	6335073.9	111	128	27.5	6	25.76
18	580626	6317237.45	112	128	37.5	7.1	16.14
19	562987.43	6573479.28	120	134	31.2	6.8	23.76
20	566036.41	6556136.64	114	133	33.4	6.4	13.66
21	562334.29	6536964.65	109	134	30.5	6	12.6
22	559369.85	6522721.97	103	130	32.4	5.8	13.46
23	560281.99	6498670.52	112	133	21.2	6.1	10.95
24	560549.49	6488512.66	111	134	24.3	5.8	13.36
25	564983.2	6460703.73	111	134	23	6.3	12.68
27	562125.92	6417161.8	115	134	23.9	6.1	23.09
28	562506.2	6396998.1	110	130	24.3	6.7	22.12
29	561287.96	6377056.62	117	132	18.6	6	17.05
30	558959.39	6356407.25	104	130	30.1	6.5	14.2
31	565136.39	6336920	107	130	26.1	5.7	9.62
32	561075.51	6317869.86	117	128	26.6	6.5	18.02
33	560453.58	6296710.81	124	128	23.3	5.8	12.9
34	561826.72	6277805.93	121	129	19.1	5.5	15.79
35	540132.48	6572395.39	79	135	37.4	6.8	17.55
36	540066.35	6554922.98	92	135	22.7	7	11.06
37	540779.77	6533414.79	108	133	29.9	6.2	16.85
38	540148.34	6525651.17	109	132	26.2	6.9	13.16
39	544374.11	6494569.02	121	133	24	6.4	18.04
40	538352.25	6481363.71	129	132	19	6.6	7.39
41	537104.55	6461968.08	127	131	25.6	6.6	22.4
42	532245.03	6442189.31	134	131	24	6.8	21.21
43	541745.02	6421084.4	129	132	21.4	6.2	16.05
44	539590.42	6394001.67	124	133	16.8	6.6	10.01
45	548155.43	6373990.13	112	130	19.6	6.6	15.44
46	540549.18	6359774.95	118	130	21.6	7.8	8.59
47	545162.87	6334934.06	118	129	20.7	6.8	20.27
48	543884.12	6320334.12	111	126	22.9	6.1	13.2
49	541060.12	6295327.98	125	124	21.4	5.89	15.42
50	534776.97	6267747.44	123	128	15.9	5.74	13.01
51	548234.61	6259178.19	136	126	20.9	5.51	15.53
54	517735.01	6571859.01	85	133	27.7	6.7	12.71
55	521452.94	6557077.16	104	131	23.5	6.5	10.1
56	518981.65	6539151.93	121	132	36.7	7.6	15.6
57	516398.81	6523475.26	130	132	26.5	7	13.84
58	526721.79	6505980.35	106	131	29.5	6.9	14.07
59	521565.99	6479407.82	141	131	25.4	7.5	6.68
60	517747.76	6451336.03	150	131	24.3	6.5	14.56
